x1,x2,x3,t
-8.761721,-6.939632,29.534995,3.540000
-8.578804,-6.746247,29.343084,3.550000
-8.395933,-6.574592,29.128572,3.560000
-8.215214,-6.425436,28.894602,3.570000
-8.038604,-6.299167,28.644279,3.580000
-7.867895,-6.195841,28.380628,3.590000
-7.704701,-6.115244,28.106557,3.600000
-7.550449,-6.056941,27.824831,3.610000
-7.406383,-6.020335,27.538063,3.620000
-7.273564,-6.004705,27.248704,3.630000
-7.152879,-6.009258,26.959051,3.640000
-7.045055,-6.033152,26.671250,3.650000
-6.950667,-6.075531,26.387310,3.660000
-6.870153,-6.135545,26.109116,3.670000
-6.803832,-6.212360,25.838442,3.680000
-6.751912,-6.305172,25.576969,3.690000
-6.714508,-6.413206,25.326298,3.700000
-6.691649,-6.535716,25.087966,3.710000
-6.683296,-6.671980,24.863455,3.720000
-6.689341,-6.821290,24.654206,3.730000
-6.709622,-6.982940,24.461627,3.740000
-6.743925,-7.156210,24.287100,3.750000
-6.791983,-7.340349,24.131983,3.760000
-6.853485,-7.534556,23.997614,3.770000
-6.928068,-7.737959,23.885303,3.780000
-7.015316,-7.949596,23.796335,3.790000
-7.114756,-8.168388,23.731950,3.800000
-7.225852,-8.393121,23.693338,3.810000
-7.347994,-8.622426,23.681612,3.820000
-7.480494,-8.854756,23.697789,3.830000
-7.622570,-9.088371,23.742761,3.840000
-7.773342,-9.321327,23.817256,3.850000
-7.931817,-9.551467,23.921803,3.860000
-8.096880,-9.776423,24.056685,3.870000
-8.267288,-9.993619,24.221893,3.880000
-8.441663,-10.200295,24.417073,3.890000
-8.618485,-10.393535,24.641478,3.900000
-8.796097,-10.570308,24.893915,3.910000
-8.972708,-10.727525,25.172706,3.920000
-9.146403,-10.862112,25.475644,3.930000
-9.315160,-10.971091,25.799979,3.940000
-9.476876,-11.051674,26.142399,3.950000
-9.629396,-11.101371,26.499051,3.960000
-9.770550,-11.118093,26.865571,3.970000
-9.898202,-11.100258,27.237145,3.980000
-10.010294,-11.046891,27.608598,3.990000
-10.104909,-10.957708,27.974499,4.000000
-10.180315,-10.833176,28.329301,4.010000
-10.235033,-10.674547,28.667486,4.020000
-10.267878,-10.483859,28.983725,4.030000
-10.278010,-10.263905,29.273040,4.040000
-10.264969,-10.018159,29.530950,4.050000
-10.228698,-9.750676,29.753612,4.060000
