x1,x2,x3,l1,l2,l3,t
24.890021,-3.364156,33.692340,-21.760387,-21.760387,30.744549,0.333000
23.919428,-2.901932,33.290190,-25.395479,-18.361517,30.916427,0.334000
22.998610,-2.441894,32.930542,-30.557940,-13.413776,31.073603,0.335000
22.126026,-1.984639,32.609836,-33.435722,-10.730254,31.216550,0.336000
21.300131,-1.530576,32.324785,-35.553185,-8.787613,31.345764,0.337000
20.519387,-1.079950,32.072365,-37.235237,-7.261944,31.461760,0.338000
19.782275,-0.632867,31.849798,-38.622107,-6.013980,31.565054,0.339000
19.087303,-0.189315,31.654536,-39.790899,-4.967536,31.656161,0.340000
18.433009,0.250817,31.484252,-40.790014,-4.075085,31.735580,0.341000
17.817972,0.687728,31.336819,-41.652505,31.803793,-3.304397,0.342000
17.240812,1.121686,31.210301,-42.402300,31.861254,-2.632306,0.343000
16.700194,1.553021,31.102935,-43.057468,31.908388,-2.041450,0.344000
16.194834,1.982112,31.013123,-43.632101,31.945581,-1.518380,0.345000
15.723494,2.409379,30.939416,-44.137456,31.973183,-1.052420,0.346000
15.284990,2.835277,30.880503,-44.582708,31.991500,-0.634911,0.347000
14.878191,3.260288,30.835204,-44.975449,32.000795,-0.258713,0.348000
14.516493,3.685178,30.808437,-45.309266,31.995288,0.076328,0.349000
14.183463,4.110742,30.792637,-45.604286,31.981379,0.382728,0.350000
13.878199,4.537526,30.787041,-45.864781,31.959138,0.664569,0.351000
13.586669,4.965014,30.786154,-46.104386,31.934143,0.929027,0.352000
13.322032,5.394285,30.794629,-46.314954,31.900683,1.174412,0.353000
13.083461,5.825904,30.811866,-46.499484,31.858723,1.403659,0.354000
12.870177,6.260441,30.837337,-46.660585,31.808176,1.619383,0.355000
12.681449,6.698469,30.870585,-46.800542,31.748897,1.823939,0.356000
12.516593,7.140564,30.911215,-46.921354,31.680682,2.019467,0.357000
12.374970,7.587303,30.958890,-47.024777,31.603265,2.207935,0.358000
12.255985,8.039265,31.013329,-47.112353,31.516316,2.391170,0.359000
12.159087,8.497027,31.074303,-47.185436,31.419435,2.570890,0.360000
12.083764,8.961168,31.141630,-47.245218,31.312146,2.748732,0.361000
12.029548,9.432264,31.215177,-47.292741,31.193895,2.926274,0.362000
11.996006,9.910891,31.294850,-47.328920,3.105062,31.064034,0.363000
11.982746,10.397625,31.380601,-47.354554,30.921821,3.286629,0.364000
11.989412,10.893038,31.472417,-47.370338,30.766402,3.472522,0.365000
12.015682,11.397700,31.570326,-47.376871,3.664325,30.596798,0.366000
12.061272,11.912182,31.674394,-47.374668,30.411889,3.863682,0.367000
12.125927,12.437049,31.784720,-47.364169,4.072333,30.210391,0.368000
12.209428,12.972865,31.901440,-47.345740,29.990827,4.292144,0.369000
12.311584,13.520190,32.024724,-47.319683,29.751492,4.525147,0.370000
12.432236,14.079581,32.154779,-47.286239,29.490410,4.773594,0.371000
12.571254,14.651591,32.291842,-47.245596,29.205272,5.040019,0.372000
12.728537,15.236766,32.436188,-47.197888,28.893359,5.327319,0.373000
12.904009,15.835650,32.588125,-47.143198,28.551431,5.638867,0.374000
13.097622,16.448776,32.747995,-47.081566,28.175580,5.978665,0.375000
13.309352,17.076672,32.916179,-47.012987,27.761018,6.351558,0.376000
13.539202,17.719856,33.093089,-46.937414,27.301755,6.763553,0.377000
13.787194,18.378838,33.279177,-46.854758,26.790117,7.222310,0.378000
14.053377,19.054112,33.474932,-46.764893,26.215952,7.737930,0.379000
14.337819,19.746160,33.680881,-46.667654,25.565280,8.324315,0.380000
14.640609,20.455450,33.897590,-46.562840,24.817750,9.001704,0.381000
